Tool_Name_Standardised,Name_Variants,Discovery_Count,LLM_Services,LLM_Services_Count,LLM_Models,Harnesses,Journals,Journals_Count,Run_Qualities,Sample_Article_Title,Sample_URL,Hallucination_Risk
Intrasis,Intrasis,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,"Digitising the Archaeological Process at the Swedish National Heritage Board: producing, managing and sharing archaeological information",https://intarch.ac.uk/journal/issue43/larsson_toc.html,MEDIUM
Jupyter Notebook,Jupyter Notebook,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,What the Machine Saw: some questions on the ethics of computer vision and machine learning to investigate human remains trafficking,https://intarch.ac.uk/journal/issue52/5/index.html,LOW
KLRfome,KLRfome (KLRfome - Kernel Logistic Regression on Focal Mean Embeddings),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,KLRfome - Kernel Logistic Regression on Focal Mean Embeddings (Journal of Open Source Software: KLRfome - Kernel Logistic Regression on Focal Mean Embeddings),https://joss.theoj.org/papers/10.21105/joss.00722,LOW
"KLRfome – Kernel Logistic Regression on Focal Mean Embeddings,""N/A","KLRfome – Kernel Logistic Regression on Focal Mean Embeddings,""N/A",1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,fail-possible,"KLRfome – Kernel Logistic Regression on Focal Mean Embeddings,""N/A","Vol. 4, Iss. 35",MEDIUM
Keras,Keras (open-source neural network library),1,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,Learning to Look at LiDAR: The Use of R-CNN in the Automated Detection of Archaeological Objects in LiDAR Data from the Netherlands,https://doi.org/10.5334/jcaa.32,LOW
Land Survey System,Land Survey System,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW
LandML,LandML (GIS plugin),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Integrating GIS and Machine Learning for Landscape Archaeology,https://doi.org/10.5334/joad.120,HIGH
LifeForms,LifeForms,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Sculpture, Dance and Heritage: animating dance sequences from temple reliefs using movement modelling software",https://intarch.ac.uk/journal/issue10/iyer_toc.html,LOW
Luminescence,Luminescence,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,aion: An R Package to Represent Archaeological Time Series (Journal of Open Source Software: aion: An R Package to Represent Archaeological Time Series),https://joss.theoj.org/papers/10.21105/joss.06210,LOW
MASA consortium,MASA consortium,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Digital Archiving and Data Stewardship in French Archaeology,https://intarch.ac.uk/journal/issue58/26/index.html,LOW
MATLAB,MATLAB,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The archaeological use of Kernel Density Estimates,https://intarch.ac.uk/journal/issue1/beardah_toc.html,LOW
MICA,"MICA (curve alignment software, used in dendrochronology for historical wood analysis)",1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,MICA: Multiple interval-based curve alignment,https://doi.org/10.1016/j.softx.2018.02.003,MEDIUM
MODES,MODES (museum database),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Categorising the Past: lessons from the archaeological resource assessment for Yorkshire,https://intarch.ac.uk/journal/issue23/roskams_index.html,LOW
MapCrowd,MapCrowd (mobile app),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Crowdsourcing Archaeological Site Mapping Using Mobile Apps,https://doi.org/10.5334/joad.130,HIGH
MapReader,MapReader,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,MapReader: Open software for the visual analysis of maps (Journal of Open Source Software: MapReader: Open software for the visual analysis of maps),https://joss.theoj.org/papers/10.21105/joss.06434,LOW
Mask R-CNN,Mask R-CNN (deep learning framework for object detection) | Mask R-CNN (deep learning model for segmentation) | Mask R-CNN,3,OpenAI o3 | OpenAI Operator,2,o3 | Operator,Web chat (o3) | Operator (browser agent),JCAA | JOAD,2,standard,Learning to Look at LiDAR: The Use of R-CNN in the Automated Detection of Archaeological Objects in LiDAR Data from the Netherlands,https://doi.org/10.5334/jcaa.32,LOW (cross-validated)
Matrix Manager,Matrix Manager,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,DigIT: Archaeological Summary Report and Experiments in Digital Recording in the Field,https://intarch.ac.uk/journal/issue27/powlesland_index.html,LOW
MicroPasts,MicroPasts,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,MicroPasts: Crowd-sourcing and crowd-funding in archaeology platform code,https://joss.theoj.org/papers/10.21105/joss.01022,LOW (cross-validated)
MicroStation,MicroStation,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The need for the solid modelling of structure in the archaeology of buildings,https://intarch.ac.uk/journal/issue2/daniels/index.html,LOW
Microsoft Access,Microsoft Access,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Characterising the Welsh Roundhouse: chronology, inhabitation and landscape",https://intarch.ac.uk/journal/issue23/1/index.html,LOW
Microsoft Access 2003,Microsoft Access 2003,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,LOW
Microsoft HoloLens,Microsoft HoloLens,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,The Embodied GIS. Using Mixed Reality to explore multi-sensory archaeological landscapes,https://intarch.ac.uk/journal/issue44/eve_toc.html,MEDIUM
Microware,Microware,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Diet in Mesolithic Europe: New evidence from dental microwear,https://intarch.ac.uk/journal/issue22/mclaughlin_index.html,LOW
Minitab,Minitab,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Consumption, deposition and social practice: a ceramic approach to intra-site analysis in late Iron Age to Roman Britain",https://intarch.ac.uk/journal/issue21/pitts_index.html,LOW
Mortuary Data Application Profile,Mortuary Data Application Profile,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Integrating Data on Early Medieval Graves: Mapping the THANADOS database to the ARIADNE infrastructure with the Mortuary Data Application Profile,https://intarch.ac.uk/journal/issue64/11/index.html,LOW
Netscape 4,Netscape 4,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Archaeological Applications of GIS - CD-ROM Proceedings of Colloquium II, UISPP XIIIth Congress, Forli, Italy",https://intarch.ac.uk/journal/issue5/reviews/wheatley.html,LOW
OASIS,OASIS,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Archiving Archaeological Data in the United Kingdom,https://intarch.ac.uk/journal/issue58/21/index.html,LOW
Open Context,Open Context,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,A Faceted Query Engine Applied to Archaeology,https://intarch.ac.uk/journal/issue21/stoyanovich_index.html,LOW
Open-archeo,Open-archeo,1,OpenAI Operator,1,Operator,Operator (browser agent),JOAD,1,standard,Open-archeo: A Resource for Documenting Archaeological Software,,LOW
OpenEthnology,OpenEthnology,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,OpenEthnology: Collaborative database and tools for ethnographic data,https://joss.theoj.org/papers/10.21105/joss.01056,LOW (cross-validated)
OxCal,OxCal | OxCal (shoredate: An R package for shoreline dating coastal Stone Age sites),2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"fellingdater: a toolkit to estimate, report and combine felling dates derived from historical tree-ring series. (Journal of Open Source Software: fellingdater: a toolkit to estimate, report and combine felling dates derived from historical tree-ring series)",https://joss.theoj.org/papers/10.21105/joss.06716,LOW
Paint Shop Pro,Paint Shop Pro,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW
Perseus 2.0,Perseus 2.0,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Perseus 2.0: Sources and Studies on Ancient Greek Culture CD-ROM,https://intarch.ac.uk/journal/issue3/eiteljorg.html,LOW
Photomodeller,Photomodeller,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW
Pioneer,Pioneer,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW
Pioneer Pro,Pioneer Pro,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW
PixPlot,PixPlot,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,Distant Viewing Toolkit: A Python Package for the Analysis of Visual Culture (Journal of Open Source Software: Distant Viewing Toolkit: A Python Package for the Analysis of Visual Culture),https://joss.theoj.org/papers/10.21105/joss.01800,LOW
Polynomial Texture Mapping,Polynomial Texture Mapping (PTM),2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,"A New Record of Pre-Columbian Engravings in Urubici (SC), Brazil using Polynomial Texture Mapping",https://intarch.ac.uk/journal/issue38/riris_toc.html,MEDIUM
Portable Antiquities Scheme (PAS) database,Portable Antiquities Scheme (PAS) database,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"The Portable Antiquities Scheme and the potential of non-metallic finds: A Viking Comb from Shotley, Suffolk",https://intarch.ac.uk/journal/issue61/11/index.html,LOW
PowerPoint,PowerPoint,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Archaeological Applications of GIS - CD-ROM Proceedings of Colloquium II, UISPP XIIIth Congress, Forli, Italy",https://intarch.ac.uk/journal/issue5/reviews/wheatley.html,LOW
PyCoCu,PyCoCu,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"archeoViz: an R package for the Visualisation, Exploration, and Web Communication of Archaeological Spatial Data (Journal of Open Source Software: archeoViz: an R package for the Visualisation, Exploration, and Web Communication of Archaeological Spatial Data)",https://joss.theoj.org/papers/10.21105/joss.05811,LOW
PyLithics,PyLithics | PyLithics (Journal of Open Source Software: PyLithics: A Python package for stone tool analysis),3,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible | success-secondpass,PyLithics: A Python package for lithic artifact analysis in archaeology,https://joss.theoj.org/papers/10.21105/joss.01075,LOW (cross-validated)
QGIS,QGIS (open-source GIS software),1,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,Geographic Information Systems in Archaeology: A Systematic Review,https://doi.org/10.5334/jcaa.104,LOW
QTVR,QTVR,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,A Simple Technique For Visualising Three Dimensional Models in Landscape Contexts,https://intarch.ac.uk/journal/issue10/jeffrey_index.html,LOW
QuickTime VR,QuickTime VR,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Debriefing the Land: The Use of Non-immersive Virtual Reality Technologies to Record, Navigate and Analyse Artefact-rich Landscapes",https://intarch.ac.uk/journal/issue8/larkman_toc.html,LOW
R,R (apcluster package for clustering analysis) | R (statistical programming language for data analysis),2,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,A Comparison of Châtelperronian and Protoaurignacian Core Technology Using Data Derived from 3D Models,https://doi.org/10.5334/jcaa.17,LOW
RACER,RACER,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,RACER: Radiocarbon Analysis Calibration and Estimation in R,https://joss.theoj.org/papers/10.21105/joss.01082,LOW (cross-validated)
RChrono,RChrono,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,RChrono: Radiocarbon and Chronology Tools in R,https://joss.theoj.org/papers/10.21105/joss.01190,LOW (cross-validated)
ROCEEH Out-of-Africa Database,ROCEEH Out-of-Africa Database (ROAD),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The Aggregation of ROAD Data in the ARIADNE Pipeline: pitfalls and successes,https://intarch.ac.uk/journal/issue64/9/index.html,LOW
Reconstructo,Reconstructo (web application),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Digital Reconstruction of Ancient Settlements,https://doi.org/10.5334/joad.101,HIGH
Reflectance Transformation Imaging,Reflectance Transformation Imaging (RTI),4,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,The Strange Case of Dame Mary May's tomb: The performative value of Reflectance Transformation Imaging and its use in deciphering the visual and biographical evidence of a late 17th-century portrait effigy,https://intarch.ac.uk/journal/issue44/jones-smith_toc.html,MEDIUM
Rhino for AutoCAD,Rhino for AutoCAD,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The need for the solid modelling of structure in the archaeology of buildings,https://intarch.ac.uk/journal/issue2/daniels/index.html,LOW
Roman Inscriptions of Britain (RIB) database,Roman Inscriptions of Britain (RIB) database,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"The Agency of Civilians, Women, and Britons in the Public Votive Epigraphy of Roman Britain",https://intarch.ac.uk/journal/issue67/17/index.html,LOW
SAGAscape,SAGAscape,3,ChatGPT Deep Research | OpenAI o3 | Perplexity Deep Research,3,Unknown (Deep Research) | o3 | Perplexity Pro,Deep Research (web) | Web chat (o3) | Perplexity (web),Multiple (sample run) | JCAA | Multiple,3,sample | standard | synthetic-prompt,,,LOW (cross-validated)
SASSA,SASSA (web-based system),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Developing SASSA: a Soil Analysis Support System for Archaeologists,https://intarch.ac.uk/journal/issue25/wilson_index.html,LOW
SEAHORS,"SEAHORS (archeoViz: an R package for the Visualisation, Exploration, and Web Communication of Archaeological Spatial Data)",1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"archeoViz: an R package for the Visualisation, Exploration, and Web Communication of Archaeological Spatial Data (Journal of Open Source Software: archeoViz: an R package for the Visualisation, Exploration, and Web Communication of Archaeological Spatial Data)",https://joss.theoj.org/papers/10.21105/joss.05811,LOW
SIGEC,SIGEC (Italian national heritage information system),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Policy and Practice for Digital Archaeological Archiving in Italy,https://intarch.ac.uk/journal/issue58/27/index.html,LOW
SORAN,SORAN (Japanese archaeological data system),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Following the Thread: Integrating SORAN's Japanese Dataset into ARIADNE,https://intarch.ac.uk/journal/issue64/15/index.html,LOW
STAR,STAR,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Connecting Archaeological Data and Grey Literature via Semantic Cross Search,https://intarch.ac.uk/journal/issue30/tudhope_index.html,LOW
STELLAR,STELLAR,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Connecting Archaeological Data and Grey Literature via Semantic Cross Search,https://intarch.ac.uk/journal/issue30/tudhope_index.html,LOW
SVG,SVG,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,An Interactive Image Using SVG and Ajax in Archaeology,https://intarch.ac.uk/journal/issue23/charno_index.html,LOW
Scripto,Scripto,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,DataScribe: An Omeka S module for structured data transcription (Journal of Open Source Software: DataScribe: An Omeka S module for structured data transcription),https://joss.theoj.org/papers/10.21105/joss.05661,LOW
SimLex,"SimLex (historical linguistics modeling, but not explicitly used in archaeology)",1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,SimLex: A computational model for simulating lexical change over time,https://doi.org/10.1016/j.softx.2017.06.001,MEDIUM
Sketchfab,Sketchfab,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,"Visualising the Guild Chapel, Stratford-upon-Avon: digital models as research tools in buildings archaeology",https://intarch.ac.uk/journal/issue32/giles_toc.html,MEDIUM
SpadeR,SpadeR,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data (Journal of Open Source Software: tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data)",https://joss.theoj.org/papers/10.21105/joss.01821,LOW
Spatial Analyst 2.0,Spatial Analyst 2.0,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",https://intarch.ac.uk/journal/issue21/boldrini_index.html,LOW
Stable Diffusion,Stable Diffusion (generative AI model),1,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,Using Generative AI for Reconstructing Cultural Artifacts,https://doi.org/10.5334/jcaa.151,LOW
Stratigraph,Stratigraph,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,ArchEd and Stratigraph - Excavation recording and analysis software,https://intarch.ac.uk/journal/issue8/reviews/rains.html,LOW
Survey2GIS,Survey2GIS,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,Free and Open Source Software development in Archaeology. Two interrelated case studies: gvSIG CE and Survey2GIS,https://intarch.ac.uk/journal/issue43/bibby-ducke_toc.html,MEDIUM
Swedish National Data Service,Swedish National Data Service (SND),2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,A Turn Towards the Digital. An Overview of Swedish Heritage Information Management Today,https://intarch.ac.uk/journal/issue58/19/index.html,LOW
TGIR Huma-Num,TGIR Huma-Num,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Digital Archiving and Data Stewardship in French Archaeology,https://intarch.ac.uk/journal/issue58/26/index.html,LOW
THANADOS database,THANADOS database,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Integrating Data on Early Medieval Graves: Mapping the THANADOS database to the ARIADNE infrastructure with the Mortuary Data Application Profile,https://intarch.ac.uk/journal/issue64/11/index.html,LOW
Temporal normalization tool,Temporal normalization tool (Python-based),1,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,Automatic Normalization of Temporal Expressions,https://doi.org/10.5334/jcaa.105,LOW
TensorFlow,TensorFlow | TensorFlow (open-source ML library),2,ChatGPT Deep Research | OpenAI o3,2,Unknown (Deep Research) | o3,Deep Research (web) | Web chat (o3),Internet Archaeology | JCAA,2,success | standard,What the Machine Saw: some questions on the ethics of computer vision and machine learning to investigate human remains trafficking,https://intarch.ac.uk/journal/issue52/5/index.html,LOW (cross-validated)
Tesseract,Tesseract,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,DataScribe: An Omeka S module for structured data transcription (Journal of Open Source Software: DataScribe: An Omeka S module for structured data transcription),https://joss.theoj.org/papers/10.21105/joss.05661,LOW
TimeMap,TimeMap,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Contextualising Archaeological Information Through Interactive Maps,https://intarch.ac.uk/journal/issue12/johnson_index.html,LOW
Truespace,Truespace,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW
Twitter API,Twitter API,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Tweets in the Peak: Twitter Analysis - the impact of Covid-19 on cultural landscapes,https://intarch.ac.uk/journal/issue59/6/index.html,LOW
UCINET,UCINET (social network analysis toolkit),1,OpenAI o3,1,o3,Web chat (o3),JCAA,1,standard,"The Impact of Levantine Transit Trade on 15th–16th Century A.D. Wallachia, Transylvania, and Moldova",https://doi.org/10.5334/jcaa.117,LOW
Unity 3D,Unity 3D (immersive visualization platform),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Visualising Heritage: using 3D immersive technologies to innovate, document and communicate rich narratives for HS2",https://intarch.ac.uk/journal/issue65/7/index.html,LOW
VOSviewer,VOSviewer (bibliometric mapping software),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,"Archaeological Research 2014 to 2021: an examination of its intellectual base, collaborative networks and conceptual language using science maps",https://intarch.ac.uk/journal/issue59/10/index.html,LOW
VRArchaeo,VRArchaeo (Unity-based application),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,Virtual Reality in Archaeology: Case Studies and Software Development,https://doi.org/10.5334/joad.110,HIGH
VRML,VRML,3,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Foreword,https://intarch.ac.uk/journal/issue1/foreword.html,LOW
Virtual Amarna Project,Virtual Amarna Project,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Developing a 3-D Digital Heritage Ecosystem: from object to representation and the role of a virtual museum in the 21st century,https://intarch.ac.uk/journal/issue30/limp_index.html,LOW
VirtualArch project platform,VirtualArch project platform,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,VirtualArch: Making Archaeological Heritage Visible,https://intarch.ac.uk/journal/issue54/2/index.html,LOW
Vistamorph,Vistamorph,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW
Vistapro,Vistapro,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW
Voro++ (bleiglas: An R package for interpolation and visualisation of spatiotemporal data with 3D tessellation),Voro++ (bleiglas: An R package for interpolation and visualisation of spatiotemporal data with 3D tessellation) (bleiglas: An R package for interpolation and visualisation of spatiotemporal data with 3D tessellation),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,bleiglas: An R package for interpolation and visualisation of spatiotemporal data with 3D tessellation (Journal of Open Source Software: bleiglas: An R package for interpolation and visualisation of spatiotemporal data with 3D tessellation),https://joss.theoj.org/papers/10.21105/joss.03092,LOW
WallGIS database and GIS,WallGIS database and GIS,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,WallGIS: A Database and GIS for Hadrian's Wall (Data paper),https://intarch.ac.uk/journal/issue67/24/index.html,LOW
WaveSurfer 1.8.8,WaveSurfer 1.8.8 (audio analysis software),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The song of air and water: Acoustic experiments with an Ecuadorian Whistle Bottle (c.900 BC–100 BC),https://intarch.ac.uk/journal/issue52/2/index.html,LOW
Wcvt2Pov,Wcvt2Pov,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW
WordPress,WordPress,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,"Day of Archaeology 2011–2017: Global Community, Public Engagement, and Digital Practice",https://intarch.ac.uk/journal/issue47/richardson_et_al_toc.html,MEDIUM
XVR,XVR,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,Communicating Archaeological Risk with Web-Based Virtual Reality: A Case Study,https://intarch.ac.uk/journal/issue31/landeschi-carrozzino_index.html,MEDIUM
York System,York System,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The York System: An integrated zooarchaeological database for research and teaching,https://intarch.ac.uk/journal/issue13/harland_index.html,LOW
Zooniverse Project Builder,Zooniverse Project Builder (DataScribe: An Omeka S module for structured data transcription),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,DataScribe: An Omeka S module for structured data transcription (Journal of Open Source Software: DataScribe: An Omeka S module for structured data transcription),https://joss.theoj.org/papers/10.21105/joss.05661,LOW
aRchaic,aRchaic,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,aRchaic: Exploratory Data Analysis of Ancient DNA Damage Patterns in R,https://joss.theoj.org/papers/10.21105/joss.01094,LOW (cross-validated)
ade4,ade4,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data (Journal of Open Source Software: tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data)",https://joss.theoj.org/papers/10.21105/joss.01821,LOW
aion,aion,3,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible | success-secondpass,aion: A toolkit for simulating historical processes using agent-based modeling,https://joss.theoj.org/papers/10.21105/joss.04589,LOW (cross-validated)
archCandy,archCandy,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,archCandy: GIS-based sweet-spot detection for archaeological surveys in Python,https://joss.theoj.org/papers/10.21105/joss.01241,LOW (cross-validated)
