Tool,Has-DVCS,Gist-only,AI-classification,Human-review,In-final-list,Discovery-overlap,Unique-to-OpenArchaeo,Metadata-investigated,Evidence-investigated
ancient-ceramic-kilns,yes,no,,,no,no,,no,no
archaeo-db-workshop,yes,no,,,no,no,,no,no
archaeological-SNA-R-demo,yes,no,,,no,no,,no,no
archaeology,yes,no,no,No,no,no,,no,no
archaeology-grand-challenges.r,yes,no,no,No,no,no,,no,no
archaeology-machine-learning,yes,no,,,no,no,,no,no
archeo-bertje,yes,no,,,no,no,,no,no
archeoViz Portal,yes,no,,,no,no,,no,no
archstopmo,yes,no,no,No,no,no,,no,no
archvocab,yes,no,,,no,no,,no,no
babylonian-hours,yes,no,no,No,no,no,,no,no
binford,yes,no,,,no,no,,no,no
c14-laboratory-code,yes,no,,,no,no,,no,no
caa,yes,no,,,no,no,,no,no
caa2019_halfway_house,yes,no,,,no,no,,no,no
caddonet,yes,no,no,No,no,no,,no,no
caribbean-14C,yes,no,,,no,no,,no,no
cca,yes,no,no,No,no,no,,no,no
chi-field-manual,yes,no,,,no,no,,no,no
chrono_spatial_modelling,yes,no,,,no,no,,no,no
civ5-prehistoric,yes,no,no,No,no,no,,no,no
ctv-archaeology,yes,no,,,no,no,,no,no
digging.digital.data,yes,no,,,no,no,,no,no
evoarchdata,yes,no,,,no,no,,no,no
folio,yes,no,,,no,no,,no,no
gitMuseum,yes,no,,,no,no,,no,no
gods_on_the_barge,yes,no,no,No,no,no,,no,no
gorbit,yes,no,,,no,no,,no,no
grass-arch,yes,no,,,no,no,,no,no
hammurabi-markov,yes,no,no,No,no,no,,no,no
harris-matrix-data-package,yes,no,,,no,no,,no,no
inclusions,yes,no,,,no,no,,no,no
italy-3d-amphitheaters,yes,no,,,no,no,,no,no
kart4arch,yes,no,,,no,no,,no,no
levant-zooarch,yes,no,,,no,no,,no,no
map-of-Ancient-Egypt,yes,no,,,no,no,,no,no
nonekXML,yes,no,,,no,no,,no,no
open-archaeo,yes,no,,,no,no,,no,no
p3k14c,yes,no,,,no,no,,no,no
pe-dictionary,yes,no,,,no,no,,no,no
photogrammetry_datasets,yes,no,,,no,no,,no,no
pleiades.datasets,yes,no,,,no,no,,no,no
pred_map_tut,yes,no,,,no,no,,no,no
pta_data,yes,no,,,no,no,,no,no
ramphs,yes,no,,,no,no,,no,no
rapanui-radiocarbon,yes,no,,,no,no,,no,no
rarcheo,yes,no,,,no,no,,no,no
roman-amphitheaters,yes,no,,,no,no,,no,no
roman-amphitheaters,yes,no,,,no,no,,no,no
roman-empire,yes,no,,,no,no,,no,no
roman-maps,yes,no,,,no,no,,no,no
rorbium,yes,no,,,no,no,,no,no
rppsfs,yes,no,,,no,no,,no,no
rtefact,yes,no,,,no,no,,no,no
rxpand,yes,no,,,no,no,,no,no
svg-pottery,yes,no,,,no,no,,no,no
swapdata,yes,no,,,no,no,,no,no
tavo-a27,yes,no,,,no,no,,no,no
teaching-rome,yes,no,,,no,no,,no,no
total-station-manuals,yes,no,,,no,no,,no,no
tridas,yes,no,,,no,no,,no,no
tutorial-autocad2018,yes,no,,,no,no,,no,no
tutorials,yes,no,,,no,no,,no,no
vici.org,yes,no,no,No,no,no,,no,no
vitutr,yes,no,,,no,no,,no,no
