Tool,Status,Article,URL,Run
UCINET,MISATTRIBUTED,The Impact of Levantine Transit Trade,https://doi.org/10.5334/jcaa.117,JCAA-o3
AIKoGAM,CONFIRMED,AIKoGAM: AI-driven Knowledge Graph of the Antiquities Market,https://doi.org/10.5334/jcaa.130,JCAA-o3
Stable Diffusion,MISATTRIBUTED,Using Generative AI for Reconstructing Cultural Artifacts,https://doi.org/10.5334/jcaa.151,JCAA-o3
time2aoristic,CONFABULATION,Spatio-Temporal Distributions of Middle to Late Jomon Pithouses,https://doi.org/10.5334/4f8eb4078284b,JOAD-extreme fail
GeoViz,CONFABULATION,Geoarchaeological Data from the Mediterranean: A Digital Approach,https://doi.org/10.5334/joad.90,JOAD-extreme fail
CeramicNet,CONFABULATION,Open Source Analysis of Ceramic Trade Networks,https://doi.org/10.5334/joad.91,JOAD-extreme fail
ArtifactML,CONFABULATION,Automated Artifact Classification Using Machine Learning,https://doi.org/10.5334/joad.100,JOAD-extreme fail
DeepClass,CONFABULATION,Automated Artifact Classification Using Machine Learning,https://doi.org/10.5334/joad.100,JOAD-extreme fail
Reconstructo,CONFABULATION,Digital Reconstruction of Ancient Settlements,https://doi.org/10.5334/joad.101,JOAD-extreme fail
VRArchaeo,CONFABULATION,Virtual Reality in Archaeology: Case Studies,https://doi.org/10.5334/joad.110,JOAD-extreme fail
LandML,CONFABULATION,Integrating GIS and Machine Learning for Landscape Archaeology,https://doi.org/10.5334/joad.120,JOAD-extreme fail
DataArq,CONFABULATION,An Open Platform for Archaeological Data Integration,https://doi.org/10.5334/joad.121,JOAD-extreme fail
MapCrowd,CONFABULATION,Crowdsourcing Archaeological Site Mapping Using Mobile Apps,https://doi.org/10.5334/joad.130,JOAD-extreme fail
FieldStream,CONFABULATION,Enhancing Archaeological Fieldwork with Real-time Data Processing,https://doi.org/10.5334/joad.140,JOAD-extreme fail
ImageQuant,CONFABULATION,Digital Imaging Techniques in Artifact Analysis,https://doi.org/10.5334/joad.141,JOAD-extreme fail
BigArq,CONFABULATION,Leveraging Big Data in Archaeological Research,https://doi.org/10.5334/joad.150,JOAD-extreme fail
DataMiner,CONFABULATION,Leveraging Big Data in Archaeological Research,https://doi.org/10.5334/joad.150,JOAD-extreme fail
3DArq,CONFABULATION,Advancements in 3D Modelling for Archaeological Artifacts,https://doi.org/10.5334/joad.160,JOAD-extreme fail
Annotorious,CONFIRMED,Annotated 3D-Models of Cuneiform Tablets,,JOAD-operator
Mask R-CNN,MISATTRIBUTED,When Computers Dream of Charcoal,,JOAD-operator
Open-archeo,CONFIRMED,Open-archeo: A Resource for Documenting Archaeological Software,,JOAD-operator
Advanced viewshed analysis,MISATTRIBUTED,Advanced viewshed analysis: a Quantum GIS plug-in,TODO,Joss-fail-possible
tidypaleo,CONFIRMED,tidypaleo: Tidy tools for stratigraphic data in R,TODO,Joss-fail-possible
archr,CONFABULATION,archr: Automated Radiocarbon Chronology for R (pilot),TODO,Joss-fail-possible
Archeofrag,CONFIRMED,Archeofrag: R package for Refitting and Spatial Analysis,TODO,Joss-fail-possible
KLRfome,CONFIRMED,KLRfome: Kernel Logistic Regression on Focal Mean Embeddings,TODO,Joss-fail-possible
archeoViz,CONFIRMED,archeoViz: Web Interface for Archaeological Data Visualization,TODO,Joss-fail-possible
bleiglas,CONFIRMED,bleiglas: R package for spatiotemporal data visualization,TODO,Joss-fail-possible
tabula,CONFIRMED,tabula: R Package for Archaeological Count Data,TODO,Joss-fail-possible
c14bazAAR,CONFIRMED,c14bazAAR: R package for downloading C14 dates,TODO,Joss-fail-possible
aion,CONFIRMED,aion: Toolkit for simulating historical processes,TODO,Joss-fail-possible
MicroPasts,MISATTRIBUTED,MicroPasts: Crowd-sourcing/funding platform,TODO,Joss-fail-possible
rhip,CONFABULATION,rhip: Tools for reconstructing historical images,TODO,Joss-fail-possible
ArchaeoPhases,CONFIRMED,ArchaeoPhases: Tools for Bayesian chronological models,TODO,Joss-fail-possible
OpenEthnology,CONFABULATION,OpenEthnology: Collaborative database (fabricated),TODO,Joss-fail-possible
shoredate,CONFIRMED,shoredate: Bayesian Shoreline Dating in R,TODO,Joss-fail-possible
PyLithics,CONFIRMED,PyLithics: Python package for lithic artifact analysis,TODO,Joss-fail-possible
RACER,CONFABULATION,RACER: Radiocarbon Analysis (fabricated),TODO,Joss-fail-possible
geoChronR,CONFIRMED,geoChronR: Geochronological tools for paleoclimate,TODO,Joss-fail-possible
ClimBayes,CONFIRMED,ClimBayes: Bayesian Hierarchical Modeling,TODO,Joss-fail-possible
aRchaic,CONFIRMED,aRchaic: Ancient DNA Damage Pattern Analysis,TODO,Joss-fail-possible
ChronoModelr,CONFABULATION,ChronoModelr (near-miss: real tool is RChronoModel),TODO,Joss-fail-possible
pyArchaeo,CONFABULATION,pyArchaeo (near-miss: pyArchInit exists not pyArchaeo),TODO,Joss-fail-possible
argus,CONFABULATION,argus: Time-series analysis (fabricated),TODO,Joss-fail-possible
FQC,CONFABULATION,FQC: FarmQuests for historical crop modeling (fabricated),TODO,Joss-fail-possible
pyrho,CONFIRMED,pyrho: Python for inferring recombination rates from aDNA,TODO,Joss-fail-possible
stratigraphr,CONFIRMED,stratigraphr: Tools for stratigraphic diagrams,TODO,Joss-fail-possible
mapDamage,CONFIRMED,mapDamage: Ancient DNA damage estimation,TODO,Joss-fail-possible
mortAAR,CONFIRMED,mortAAR: Mortality modeling in archaeology,TODO,Joss-fail-possible
RChrono,CONFABULATION,RChrono (near-miss: RChronoModel exists),TODO,Joss-fail-possible
ChronCluster,CONFABULATION,ChronCluster (fabricated),TODO,Joss-fail-possible
pastR,CONFABULATION,pastR (near-miss: PAST exists as standalone),TODO,Joss-fail-possible
ArchABM,CONFABULATION,ArchABM (multi-layered confabulation),TODO,Joss-fail-possible
chora,CONFABULATION,chora: R package for chorology (fabricated),TODO,Joss-fail-possible
archCandy,CONFABULATION,archCandy: GIS sweet-spot detection (fabricated),TODO,Joss-fail-possible
aion,CONFIRMED,aion: R Package for Archaeological Time Series,https://joss.theoj.org/papers/10.21105/joss.06210,JOSS-secondpass
Bchron,CONFIRMED,Mentioned in aion paper,https://joss.theoj.org/papers/10.21105/joss.06210,JOSS-secondpass
rcarbon,CONFIRMED,Mentioned in aion paper,https://joss.theoj.org/papers/10.21105/joss.06210,JOSS-secondpass
Luminescence,CONFIRMED,Mentioned in aion paper,https://joss.theoj.org/papers/10.21105/joss.06210,JOSS-secondpass
ArchaeoPhases,CONFIRMED,Mentioned in aion paper,https://joss.theoj.org/papers/10.21105/joss.06210,JOSS-secondpass
shoredate,CONFIRMED,Mentioned in aion paper,https://joss.theoj.org/papers/10.21105/joss.06210,JOSS-secondpass
kairos,CONFIRMED,Mentioned in aion paper,https://joss.theoj.org/papers/10.21105/joss.06210,JOSS-secondpass
archeoViz,CONFIRMED,archeoViz: R package for Archaeological Spatial Data,https://joss.theoj.org/papers/10.21105/joss.05811,JOSS-secondpass
PyCoCu,CONFABULATION,Mentioned in archeoViz paper,https://joss.theoj.org/papers/10.21105/joss.05811,JOSS-secondpass
recexcavAAR,CONFIRMED,Mentioned in archeoViz paper,https://joss.theoj.org/papers/10.21105/joss.05811,JOSS-secondpass
SEAHORS,CONFIRMED,Mentioned in archeoViz paper,https://joss.theoj.org/papers/10.21105/joss.05811,JOSS-secondpass
Archeofrag,CONFIRMED,Archeofrag: R package for Refitting and Spatial Analysis,https://joss.theoj.org/papers/10.21105/joss.04335,JOSS-secondpass
stratigraphr,CONFIRMED,Mentioned in Archeofrag paper,https://joss.theoj.org/papers/10.21105/joss.04335,JOSS-secondpass
tabula,CONFIRMED,Mentioned in Archeofrag paper,https://joss.theoj.org/papers/10.21105/joss.04335,JOSS-secondpass
recexcavAAR,CONFIRMED,Mentioned in Archeofrag paper (duplicate),https://joss.theoj.org/papers/10.21105/joss.04335,JOSS-secondpass
ArchaeoPhases,CONFIRMED,Mentioned in Archeofrag paper,https://joss.theoj.org/papers/10.21105/joss.04335,JOSS-secondpass
bleiglas,CONFIRMED,bleiglas: R package for spatiotemporal data,https://joss.theoj.org/papers/10.21105/joss.03092,JOSS-secondpass
Voro++,CONFIRMED,Mentioned in bleiglas paper,https://joss.theoj.org/papers/10.21105/joss.03092,JOSS-secondpass
c14bazAAR,CONFIRMED,c14bazAAR: R package for C14 dates,https://joss.theoj.org/papers/10.21105/joss.01914,JOSS-secondpass
Bchron,CONFIRMED,Mentioned in c14bazAAR paper,https://joss.theoj.org/papers/10.21105/joss.01914,JOSS-secondpass
DataScribe,CONFIRMED,DataScribe: Omeka S module for transcription,https://joss.theoj.org/papers/10.21105/joss.05661,JOSS-secondpass
ABBYY FineReader,MISATTRIBUTED,Commercial OCR software,https://joss.theoj.org/papers/10.21105/joss.05661,JOSS-secondpass
Scripto,CONFIRMED,Mentioned in DataScribe paper,https://joss.theoj.org/papers/10.21105/joss.05661,JOSS-secondpass
Tesseract,MISATTRIBUTED,Generic OCR engine,https://joss.theoj.org/papers/10.21105/joss.05661,JOSS-secondpass
Zooniverse Project Builder,MISATTRIBUTED,Platform not research tool,https://joss.theoj.org/papers/10.21105/joss.05661,JOSS-secondpass
Distant Viewing Toolkit,CONFIRMED,Distant Viewing Toolkit: Python for visual culture,https://joss.theoj.org/papers/10.21105/joss.01800,JOSS-secondpass
FaceNet,MISATTRIBUTED,Generic deep learning model,https://joss.theoj.org/papers/10.21105/joss.01800,JOSS-secondpass
PixPlot,CONFIRMED,Mentioned in Distant Viewing paper,https://joss.theoj.org/papers/10.21105/joss.01800,JOSS-secondpass
FilmColors,CONFIRMED,Mentioned in Distant Viewing paper,https://joss.theoj.org/papers/10.21105/joss.01800,JOSS-secondpass
fellingdater,CONFIRMED,fellingdater: R toolkit for felling dates,https://joss.theoj.org/papers/10.21105/joss.06716,JOSS-secondpass
OxCal,CONFIRMED,Mentioned in fellingdater paper,https://joss.theoj.org/papers/10.21105/joss.06716,JOSS-secondpass
dplR,CONFIRMED,Mentioned in fellingdater paper,https://joss.theoj.org/papers/10.21105/joss.06716,JOSS-secondpass
glottospace,CONFIRMED,glottospace: R for language mapping,https://joss.theoj.org/papers/10.21105/joss.04303,JOSS-secondpass
lingtypR,CONFIRMED,Mentioned in glottospace paper,https://joss.theoj.org/papers/10.21105/joss.04303,JOSS-secondpass
qlcData,CONFIRMED,Mentioned in glottospace paper,https://joss.theoj.org/papers/10.21105/joss.04303,JOSS-secondpass
lingtypology,CONFIRMED,Mentioned in glottospace paper,https://joss.theoj.org/papers/10.21105/joss.04303,JOSS-secondpass
glottoTrees,CONFIRMED,Mentioned in glottospace paper,https://joss.theoj.org/papers/10.21105/joss.04303,JOSS-secondpass
iconr,CONFIRMED,iconr: R package for prehistoric iconography,https://joss.theoj.org/papers/10.21105/joss.03191,JOSS-secondpass
KLRfome,CONFIRMED,KLRfome: Kernel Logistic Regression,https://joss.theoj.org/papers/10.21105/joss.00722,JOSS-secondpass
MapReader,CONFIRMED,MapReader: Open software for visual analysis,https://joss.theoj.org/papers/10.21105/joss.06434,JOSS-secondpass
Distant Viewing Toolkit,CONFIRMED,Mentioned in MapReader paper,https://joss.theoj.org/papers/10.21105/joss.06434,JOSS-secondpass
PyLithics,CONFIRMED,PyLithics: Python for stone tool analysis,https://joss.theoj.org/papers/10.21105/joss.03738,JOSS-secondpass
shoredate,CONFIRMED,shoredate: R for shoreline dating,https://joss.theoj.org/papers/10.21105/joss.05337,JOSS-secondpass
rcarbon,CONFIRMED,Mentioned in shoredate paper,https://joss.theoj.org/papers/10.21105/joss.05337,JOSS-secondpass
Bchron,CONFIRMED,Mentioned in shoredate paper,https://joss.theoj.org/papers/10.21105/joss.05337,JOSS-secondpass
oxcAAR,CONFIRMED,Mentioned in shoredate paper,https://joss.theoj.org/papers/10.21105/joss.05337,JOSS-secondpass
kairos,CONFIRMED,Mentioned in shoredate paper,https://joss.theoj.org/papers/10.21105/joss.05337,JOSS-secondpass
ArchaeoPhases,CONFIRMED,Mentioned in shoredate paper,https://joss.theoj.org/papers/10.21105/joss.05337,JOSS-secondpass
OxCal,CONFIRMED,Mentioned in shoredate paper,https://joss.theoj.org/papers/10.21105/joss.05337,JOSS-secondpass
straditize,CONFIRMED,straditize: Digitizing stratigraphic diagrams,https://joss.theoj.org/papers/10.21105/joss.01216,JOSS-secondpass
tabula,CONFIRMED,tabula: R Package for Archaeological Count Data,https://joss.theoj.org/papers/10.21105/joss.01821,JOSS-secondpass
ade4,CONFIRMED,Mentioned in tabula paper,https://joss.theoj.org/papers/10.21105/joss.01821,JOSS-secondpass
SpadeR,CONFIRMED,Mentioned in tabula paper,https://joss.theoj.org/papers/10.21105/joss.01821,JOSS-secondpass
vegan,CONFIRMED,Mentioned in tabula paper,https://joss.theoj.org/papers/10.21105/joss.01821,JOSS-secondpass
Heurist,CONFIRMED,Multi-interface framework,https://heuristnetwork.org,Perplexity-SyntheticPrompt-DR
stratigraphr,CONFIRMED,Early development stage,https://stratigraphr.joeroe.io,Perplexity-SyntheticPrompt-DR
ArchAIDE,CONFIRMED,Requires TF1/Python3.6,https://archaide.eu,Perplexity-SyntheticPrompt-DR
ARCHIS,CONFIRMED,Proprietary national system,https://archis.cultureelerfgoed.nl,Perplexity-SyntheticPrompt-DR
iDig,CONFIRMED,Archaeological data platform,https://www.idigbio.org,Perplexity-SyntheticPrompt-DR
Gephi,MISATTRIBUTED,Generic network analysis software,https://gephi.org,Perplexity-SyntheticPrompt-DR
Bwigg,CONFABULATION,Tool does not exist,https://software.broadinstitute.org,Perplexity-SyntheticPrompt-DR
Arch-I-Scan,CONFIRMED,CNNs for lithics,https://archiscan.cam.ac.uk,Perplexity-SyntheticPrompt-DR
SAGAscape,CONFIRMED,QT6 migration,https://sagascape.uni-koeln.de,Perplexity-SyntheticPrompt-DR
CAinterprTools,CONFIRMED,Real CRAN package + SoftwareX article,https://doi.org/10.1016/j.softx.2015.07.001,SoftwareX-run1-accessFail
tgcd,CONFIRMED,Real CRAN package + SoftwareX article,https://doi.org/10.1016/j.softx.2016.12.005,SoftwareX-run1-accessFail
FAIMS Mobile,CONFIRMED,Real SoftwareX article + active platform,https://doi.org/10.1016/j.softx.2017.12.006,SoftwareX-run1-accessFail
MICA,CONFIRMED,Real SoftwareX dendrochronology article,https://doi.org/10.1016/j.softx.2018.02.003,SoftwareX-run1-accessFail
CulSim,CONFIRMED,Real SoftwareX cultural dynamics ABM,https://doi.org/10.1016/j.softx.2016.07.005,SoftwareX-run1-accessFail
movecost,CONFIRMED,Real CRAN package + SoftwareX article,https://doi.org/10.1016/j.softx.2019.10.002,SoftwareX-run1-accessFail
Cloud2FEM,CONFIRMED,SoftwareX 2022 + GitHub repo,https://doi.org/10.1016/j.softx.2022.101099,SoftwareX-run1-accessFail
Image2DEM,CONFIRMED,SoftwareX 2023,https://doi.org/10.1016/j.softx.2023.101323,SoftwareX-run1-accessFail
ArchaeoViz,CONFIRMED,Real CRAN package + SoftwareX article,https://doi.org/10.1016/j.softx.2021.100658,SoftwareX-run1-accessFail
Hyperspectral Image Analysis Toolbox,CONFABULATION,DOI hijacking - DOI is actually XDrift,https://doi.org/10.1016/j.softx.2020.100610,SoftwareX-run1-accessFail
ringR,CONFABULATION,No R package ringR exists,https://doi.org/10.1016/j.softx.2019.100325,SoftwareX-run1-accessFail
SimLex,CONFABULATION,DOI hijacking - DOI is actually FLBEIA,https://doi.org/10.1016/j.softx.2017.06.001,SoftwareX-run1-accessFail
