Tool_Name_Raw,Tool_Name_Standardised,LLM_Service,LLM_Model,Harness,Run_Quality,Journal,Article_Title,Article_Authors,Issue_Number,Year,URL_DOI,Discovery_Context,Sheet_Name,Additional_Notes,Verification_Status,Extraction_Completeness
York System,York System,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The York System: An integrated zooarchaeological database for research and teaching,"Jennifer F. Harland, James H. Barrett, John Carrott, Keith Dobney and Deborah Jaques",13,2003,https://intarch.ac.uk/journal/issue13/harland_index.html,Primary,IA-run2-success,Integrated zooarchaeological database by Harland et al.,CONFIRMED,COMPLETE
GRASS GIS,GRASS GIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Listening to the Landscapes: Modelling Soundscapes in GIS,Dimitrij Mlekuz,16,2004,https://intarch.ac.uk/journal/issue16/mlekuz_index.html,Primary,IA-run2-success,Generic open-source GIS platform - not research-specific,MISATTRIBUTED,COMPLETE
Faceted Query Engine,Faceted Query Engine,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,A Faceted Query Engine Applied to Archaeology,"Kenneth A. Ross, Angel Janevski, Julia Stoyanovich",21,2007,https://intarch.ac.uk/journal/issue21/stoyanovich_index.html,Mentioned,IA-run2-success,Research-specific database query tool for archaeological data discovery,CONFIRMED,COMPLETE
Open Context,Open Context,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,A Faceted Query Engine Applied to Archaeology,"Kenneth A. Ross, Angel Janevski, Julia Stoyanovich",21,2007,https://intarch.ac.uk/journal/issue21/stoyanovich_index.html,Mentioned,IA-run2-success,Archaeological data publishing platform - research-specific,CONFIRMED,COMPLETE
Depthmap,Depthmap,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Analysing Medieval Urban Space; a methodology,Marlous L. Craane,21,2007,https://intarch.ac.uk/journal/issue21/craane_index.html,Primary,IA-run2-success,Space syntax analysis software for architectural/urban research,CONFIRMED,COMPLETE
Minitab,Minitab,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Consumption, deposition and social practice: a ceramic approach to intra-site analysis in late Iron Age to Roman Britain",Martin Pitts,21,2007,https://intarch.ac.uk/journal/issue21/pitts_index.html,Primary,IA-run2-success,Generic statistical software - not research-specific,MISATTRIBUTED,COMPLETE
ArcView GIS 3.3,ArcView GIS 3.3,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",Nick Boldrini,21,2007,https://intarch.ac.uk/journal/issue21/boldrini_index.html,Mentioned,IA-run2-success,Generic GIS platform - not research-specific,MISATTRIBUTED,COMPLETE
Spatial Analyst 2.0,Spatial Analyst 2.0,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",Nick Boldrini,21,2007,https://intarch.ac.uk/journal/issue21/boldrini_index.html,Mentioned,IA-run2-success,ArcView extension - generic GIS tool not research-specific,MISATTRIBUTED,COMPLETE
Grid Machine 6.53,Grid Machine 6.53,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",Nick Boldrini,21,2007,https://intarch.ac.uk/journal/issue21/boldrini_index.html,Mentioned,IA-run2-success,ArcView extension for archaeological GIS - §3: used to convert ADI grids to points themes,CONFIRMED,COMPLETE
Microsoft Access 2003,Microsoft Access 2003,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",Nick Boldrini,21,2007,https://intarch.ac.uk/journal/issue21/boldrini_index.html,Mentioned,IA-run2-success,Generic database software - not research-specific,MISATTRIBUTED,COMPLETE
Excel 2003,Excel 2003,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",Nick Boldrini,21,2007,https://intarch.ac.uk/journal/issue21/boldrini_index.html,Mentioned,IA-run2-success,Generic spreadsheet software - not research-specific,MISATTRIBUTED,COMPLETE
HBSMR (ExeGesIS) v3.06,HBSMR (ExeGesIS) v3.06,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Planning Uncertainty: Creating an Artefact Density Index for North Yorkshire, England",Nick Boldrini,21,2007,https://intarch.ac.uk/journal/issue21/boldrini_index.html,Mentioned,IA-run2-success,Historic Building/Sites/Monuments Record system - heritage management software,CONFIRMED,COMPLETE
Integrated Archaeological Database (IADB),Integrated Archaeological Database,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Silchester Roman Town Insula IX: The Development of an Urban Property c. AD 40-50 – c. AD 250,"A. Clarke, M.G. Fulford, M. Rains, K. Tootell",21,2007,https://intarch.ac.uk/journal/issue21/silchester_index.html,Primary,IA-run2-success,Research-specific excavation database developed for Silchester project,CONFIRMED,COMPLETE
Microware,Microware,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Diet in Mesolithic Europe: New evidence from dental microwear,T. Rowan McLaughlin,22,2007,https://intarch.ac.uk/journal/issue22/mclaughlin_index.html,Mentioned,IA-run2-success,Dental microwear analysis software - de facto standard among microwear researchers (Ungar 1997),CONFIRMED,COMPLETE
GNU R,GNU R,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Diet in Mesolithic Europe: New evidence from dental microwear,T. Rowan McLaughlin,22,2007,https://intarch.ac.uk/journal/issue22/mclaughlin_index.html,Mentioned,IA-run2-success,Generic statistical computing platform - not research-specific,MISATTRIBUTED,COMPLETE
ExeGesIS (HER data system),ExeGesIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Categorising the Past: lessons from the archaeological resource assessment for Yorkshire,Steve Roskams with Mark Whyman,23,2007,https://intarch.ac.uk/journal/issue23/roskams_index.html,Mentioned,IA-run2-success,Heritage Environment Record system - used by majority of Yorkshire SMRs,CONFIRMED,COMPLETE
MODES (museum database),MODES,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Categorising the Past: lessons from the archaeological resource assessment for Yorkshire,Steve Roskams with Mark Whyman,23,2007,https://intarch.ac.uk/journal/issue23/roskams_index.html,Mentioned,IA-run2-success,Museum collections management system - domain-specific,CONFIRMED,COMPLETE
Microsoft Access,Microsoft Access,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Characterising the Welsh Roundhouse: chronology, inhabitation and landscape","Eleanor Ghey, Nancy Edwards, Robert Johnston, Rachel Pope",23,2007,https://intarch.ac.uk/journal/issue23/1/index.html,Mentioned,IA-run2-success,Generic database software - not research-specific,MISATTRIBUTED,COMPLETE
ESRI ArcGIS,ESRI ArcGIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Characterising the Welsh Roundhouse: chronology, inhabitation and landscape","Eleanor Ghey, Nancy Edwards, Robert Johnston, Rachel Pope",23,2007,https://intarch.ac.uk/journal/issue23/1/index.html,Mentioned,IA-run2-success,Generic GIS platform - not research-specific,MISATTRIBUTED,COMPLETE
ArcView GIS,ArcView GIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,An Interactive Image Using SVG and Ajax in Archaeology,Michael Charno,23,2008,https://intarch.ac.uk/journal/issue23/charno_index.html,Mentioned,IA-run2-success,Generic GIS platform (ArcView 3.3) - not research-specific,MISATTRIBUTED,COMPLETE
Adobe Illustrator CS2,Adobe Illustrator CS2,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,An Interactive Image Using SVG and Ajax in Archaeology,Michael Charno,23,2008,https://intarch.ac.uk/journal/issue23/charno_index.html,Mentioned,IA-run2-success,Generic design software used for shapefile-to-SVG conversion,MISATTRIBUTED,COMPLETE
SVG,SVG,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,An Interactive Image Using SVG and Ajax in Archaeology,Michael Charno,23,2008,https://intarch.ac.uk/journal/issue23/charno_index.html,Mentioned,IA-run2-success,File format/standard not software tool,MISATTRIBUTED,COMPLETE
Ajax,Ajax,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,An Interactive Image Using SVG and Ajax in Archaeology,Michael Charno,23,2008,https://intarch.ac.uk/journal/issue23/charno_index.html,Mentioned,IA-run2-success,Web programming technique not software tool,MISATTRIBUTED,COMPLETE
Blender,Blender,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Appropriate Levels of Detail in 3-D Visualisation: the House of the Surgeon, Pompeii",P.S. Murgatroyd,23,2008,https://intarch.ac.uk/journal/issue23/murgatroyd_index.html,Mentioned,IA-run2-success,Generic open-source 3D modelling software,MISATTRIBUTED,COMPLETE
AutoCAD,AutoCAD,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Appropriate Levels of Detail in 3-D Visualisation: the House of the Surgeon, Pompeii",P.S. Murgatroyd,23,2008,https://intarch.ac.uk/journal/issue23/murgatroyd_index.html,Mentioned,IA-run2-success,Generic CAD software (DWG file handling) - not research-specific,MISATTRIBUTED,COMPLETE
ArcMap (ArcGIS),ArcMap,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Dress and Social Identities: the role of GIS in mapping social structure in the central Italian Iron Age cemetery of Osteria dell'Osa,Lisa Cougle,24,2008,https://intarch.ac.uk/journal/issue24/cougle_index.html,Primary,IA-run2-success,Generic GIS platform - not research-specific,MISATTRIBUTED,COMPLETE
ArcView GIS,ArcView GIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Measuring Women's Influence on Roman Military Life: using GIS on published excavation reports from the German frontier,Penelope M. Allison,24,2008,https://intarch.ac.uk/journal/issue24/allison_index.html,Primary,IA-run2-success,Generic GIS platform - not research-specific,MISATTRIBUTED,COMPLETE
ArcView GIS,ArcView GIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Procedures for Measuring Women's Influence: Data translation and manipulation and related problems,"Penelope M. Allison, Patrick Faulkner, Andrew Fairbairn, Steven Ellis",24,2008,https://intarch.ac.uk/journal/issue24/allisonetal_index.html,Primary,IA-run2-success,Generic GIS platform - duplicate entry from companion article,MISATTRIBUTED,COMPLETE
SASSA (web-based system),SASSA,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Developing SASSA: a Soil Analysis Support System for Archaeologists,"Clare Wilson, Donald Davidson, Edward Pollard, Julie Cowie, David Cairns, Martin Blunn",25,2008,https://intarch.ac.uk/journal/issue25/wilson_index.html,Primary,IA-run2-success,Soil Analysis Support System for Archaeologists - research-specific geoarchaeological tool,CONFIRMED,COMPLETE
Matrix Manager,Matrix Manager,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,DigIT: Archaeological Summary Report and Experiments in Digital Recording in the Field,"Dominic Powlesland, Keith May et al.",27,2010,https://intarch.ac.uk/journal/issue27/powlesland_index.html,Primary,IA-run2-success,Archaeological stratigraphic matrix management component of Gsys GIS,CONFIRMED,COMPLETE
ArcGIS skeletal templates,ArcGIS skeletal templates,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,A New Tool for Zooarchaeological Analysis: ArcGIS Skeletal Templates for Some Common Mammalian Species,David C. Orton,28,2010,https://intarch.ac.uk/journal/issue28/orton_index.html,Primary,IA-run2-success,Research-specific zooarchaeological templates for mammalian species analysis,CONFIRMED,COMPLETE
STAR,STAR,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Connecting Archaeological Data and Grey Literature via Semantic Cross Search,"Douglas Tudhope, Keith May, Ceri Binding, Andreas Vlachidis",30,2011,https://intarch.ac.uk/journal/issue30/tudhope_index.html,Mentioned,IA-run2-success,Semantic Technologies for Archaeological Resources - cross-search system,CONFIRMED,COMPLETE
STELLAR,STELLAR,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Connecting Archaeological Data and Grey Literature via Semantic Cross Search,"Douglas Tudhope, Keith May, Ceri Binding, Andreas Vlachidis",30,2011,https://intarch.ac.uk/journal/issue30/tudhope_index.html,Mentioned,IA-run2-success,Semantic mapping tools for linked data representation,CONFIRMED,COMPLETE
Virtual Amarna Project,Virtual Amarna Project,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Developing a 3-D Digital Heritage Ecosystem: from object to representation and the role of a virtual museum in the 21st century,"Fred Limp, Angie Payne, Katie Simon, Snow Winters, Jack Cothren",30,2011,https://intarch.ac.uk/journal/issue30/limp_index.html,Primary,IA-run2-success,"Digital archive/dataset of 3D scanned archaeological objects from Tell el-Amarna, not a software tool. Primary function is to display and store static 3D models via ADS (DOI: 10.5284/1011330). Does not meet tool definition - excluded as dataset without active computational engagement.",MISATTRIBUTED,COMPLETE
XVR,XVR,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Communicating Archaeological Risk with Web-Based Virtual Reality: A Case Study,Giacomo Landeschi; Marcello Carrozzino,31,2011,https://intarch.ac.uk/journal/issue31/landeschi-carrozzino_index.html,Mentioned,IA-run2-success,eXtendable Virtual Reality system for web-based archaeological VR,CONFIRMED,COMPLETE
ActiveX,ActiveX,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Communicating Archaeological Risk with Web-Based Virtual Reality: A Case Study,Giacomo Landeschi; Marcello Carrozzino,31,2011,https://intarch.ac.uk/journal/issue31/landeschi-carrozzino_index.html,Mentioned,IA-run2-success,Generic Microsoft browser technology - not research-specific,MISATTRIBUTED,COMPLETE
Sketchfab,Sketchfab,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Visualising the Guild Chapel, Stratford-upon-Avon: digital models as research tools in buildings archaeology",Kate Giles; Anthony Masinton; Geoff Arnott,32,2012,https://intarch.ac.uk/journal/issue32/giles_toc.html,Primary,IA-run2-success,Source hallucination - Sketchfab is a real platform but article uses Unity WebGL Player not Sketchfab (verified in Fig 16 and /guild-chapel/index.html). Tool exists but presence in this source was fabricated.,CONFABULATION,COMPLETE
ArcGIS,ArcGIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"GIS Visualisations of Mortuary Data from Holešov, Czech Republic",Ladislav Šmejda,36,2014,https://intarch.ac.uk/journal/issue36/smejda_toc.html,Primary,IA-run2-success,Generic GIS platform - not research-specific,MISATTRIBUTED,COMPLETE
Polynomial Texture Mapping (PTM),Polynomial Texture Mapping,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"A New Record of Pre-Columbian Engravings in Urubici (SC), Brazil using Polynomial Texture Mapping",Philip Riris; Rafael Corteletti,38,2015,https://intarch.ac.uk/journal/issue38/riris_toc.html,Primary,IA-run2-success,Imaging technique/method not software tool; Corrected from MISATTRIBUTED: successful metadata evaluation confirms research tool status (Polynomial Texture Mapping (PTM)),CONFIRMED,COMPLETE
GIS,GIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Reconstructing Rebellion: Digital Terrain Analysis of the Battle of Dussindale (1549),Alexander Hodgkins,38,2015,https://intarch.ac.uk/journal/issue38/hodgkins_toc.html,Primary,IA-run2-success,Generic category not specific software tool,MISATTRIBUTED,COMPLETE
Gephi,Gephi,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Mapping the Structure of the Archaeological Web,Shawn Graham,39,2015,https://intarch.ac.uk/journal/issue39/graham_toc.html,Primary,IA-run2-success,Generic network analysis software - not research-specific; Corrected from MISATTRIBUTED: successful metadata evaluation confirms research tool status (Gephi),CONFIRMED,COMPLETE
Google Earth,Google Earth,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Google Under-the-Earth: Seeing Beneath Stonehenge using Google Earth - a Tool for Public Engagement and the Dissemination of Archaeological Data,Kate Welham; Lawrence Shaw; Mark Dover; Harry Manley; Mike Parker Pearson; Josh Pollard; Colin Richards; Julian Thomas; Chris Tilley,40,2015,https://intarch.ac.uk/journal/issue40/welham_toc.html,Primary,IA-run2-success,Generic mapping platform - not research-specific,MISATTRIBUTED,COMPLETE
Intrasis,Intrasis,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Digitising the Archaeological Process at the Swedish National Heritage Board: producing, managing and sharing archaeological information",Åsa M. Larsson; Marcus Smith; Rikard Sohlenius; Tord Klafver,43,2017,https://intarch.ac.uk/journal/issue43/larsson_toc.html,Primary,IA-run2-success,Swedish intra-site information system for archaeological documentation (released 2001),CONFIRMED,COMPLETE
ARIADNE,ARIADNE,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Enabling European Archaeological Research: The ARIADNE E-Infrastructure,Nicola Aloia; Ceri Binding; Sebastian Cuy; Martin Doerr; Bruno Fanini; Achille Felicetti; Johan Fihn; Dimitris Gavrilis; Guntram Geser; Hella Hollander; Carlo Meghini; Franco Niccolucci; Federico Nurra; Christos Papatheodorou; Julian Richards; Paola Ronzino; Roberto Scopigno; Maria Theodoridou; Douglas Tudhope; Andreas Vlachidis; Holly Wright,43,2017,https://intarch.ac.uk/journal/issue43/aloia_toc.html,Primary,IA-run2-success,Advanced Research Infrastructure for Archaeological Dataset Networking in Europe,CONFIRMED,COMPLETE
gvSIG CE,gvSIG CE,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Free and Open Source Software development in Archaeology. Two interrelated case studies: gvSIG CE and Survey2GIS,David Bibby; Benjamin Ducke,43,2017,https://intarch.ac.uk/journal/issue43/bibby-ducke_toc.html,Mentioned,IA-run2-success,Community Edition of gvSIG - open source GIS for archaeology,CONFIRMED,COMPLETE
Survey2GIS,Survey2GIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Free and Open Source Software development in Archaeology. Two interrelated case studies: gvSIG CE and Survey2GIS,David Bibby; Benjamin Ducke,43,2017,https://intarch.ac.uk/journal/issue43/bibby-ducke_toc.html,Mentioned,IA-run2-success,Tool for converting survey data to GIS formats,CONFIRMED,COMPLETE
Microsoft HoloLens,Microsoft HoloLens,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The Embodied GIS. Using Mixed Reality to explore multi-sensory archaeological landscapes,Stuart Eve,44,2017,https://intarch.ac.uk/journal/issue44/eve_toc.html,Primary,IA-run2-success,Generic hardware device - not research-specific software,MISATTRIBUTED,COMPLETE
Reflectance Transformation Imaging (RTI),Reflectance Transformation Imaging,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The Strange Case of Dame Mary May's tomb: The performative value of Reflectance Transformation Imaging and its use in deciphering the visual and biographical evidence of a late 17th-century portrait effigy,Jude Jones; Nicole Smith,44,2017,https://intarch.ac.uk/journal/issue44/jones-smith_toc.html,Primary,IA-run2-success,Imaging technique/method not software tool,MISATTRIBUTED,COMPLETE
WordPress,WordPress,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Day of Archaeology 2011–2017: Global Community, Public Engagement, and Digital Practice",Lorna-Jane Richardson; Matt Law; J. Andrew Dufton; Kate Ellenberger; Stuart Eve; Tom Goskar; Jessica Ogden; Daniel Pett; Andrew Reinhard,47,2018,https://intarch.ac.uk/journal/issue47/richardson_et_al_toc.html,Primary,IA-run2-success,Generic content management system - not research-specific,MISATTRIBUTED,COMPLETE
Reflectance Transformation Imaging (RTI),Reflectance Transformation Imaging,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Maeshowe: The Application of RTI to Norse Runes (Data Paper),Nicole Smith; Gareth Beale; Julian Richards; Nela Scholma-Mason,47,2018,https://intarch.ac.uk/journal/issue47/smith_et_al.html,Primary,IA-run2-success,Imaging technique/method not software tool (duplicate entry),MISATTRIBUTED,COMPLETE
iDig,iDig,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The Rise of the Machine': the impact of digital tablet recording in the field at Çatalhöyük,James Taylor; Justine Issavi; Åsa Berggren; Dominik Lukas; Camilla Mazzucato; Burcu Tung; Nicoló Dell'Unto,47,2018,https://intarch.ac.uk/journal/issue47/taylor_et_al_toc.html,Primary,IA-run2-success,Stand-alone software for recording and visualising archaeological excavation data,CONFIRMED,COMPLETE
ARCHIS,ARCHIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"A Toolbox for Archaeological Heritage Management. Maps, Methods and More for Effective and Efficient Selection of Valuable Archaeology",R.C.G.M. Lauwerier; M.C. Eerden; B.J. Groenewoudt; M.A. Lascaris; E. Rensink; B.I. Smit; B.P. Speleers; J. Van Doesburg,49,2018,https://intarch.ac.uk/journal/issue49/lauwerier_toc.html,Primary,IA-run2-success,Dutch national archaeological information system,CONFIRMED,COMPLETE
Arch-I-Scan,Arch-I-Scan,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,Exploring Automated Pottery Identification [Arch-I-Scan],Ivan Tyukin; Konstantin Sofeikov; Jeremy Levesley; Alexander N. Gorban; Penelope Allison; Nicholas J. Cooper,50,2018,https://intarch.ac.uk/journal/issue50/tyukin_toc.html,Primary,IA-run2-success,Hand-held AI device for pottery identification developed by University of Leicester - in metadata,CONFIRMED,COMPLETE
ArcGIS,ArcGIS,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Breedon Hill, Leicestershire: new surveys and their implications",Christopher Whittaker,52,2019,https://intarch.ac.uk/journal/issue52/6/index.html,Mentioned,IA-run2-success,Generic GIS - Methods §3: raw data converted to Raster Mosaic using ArcGIS,MISATTRIBUTED,COMPLETE
ArcScene,ArcScene,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Breedon Hill, Leicestershire: new surveys and their implications",Christopher Whittaker,52,2019,https://intarch.ac.uk/journal/issue52/6/index.html,Mentioned,IA-run2-success,Generic GIS - Methods §3: hillshade models manipulated using ArcScene for 3D surfaces,MISATTRIBUTED,COMPLETE
ArchAIDE mobile application,ArchAIDE,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Developing the ArchAIDE Application: A digital workflow for identifying, organising and sharing archaeological pottery using automated image recognition",Francesca Anichini; Francesco Banterle; Jaume Buxeda i Garrigós; Marco Callieri; Nachum Dershowitz; Nevio Dubbini; Diego Lucendo Diaz; Tim Evans; Gabriele Gattiglia; Katie Green; Maria Letizia Gualandi; Miguel Angel Hervás; Barak Itkin; Marisol Madrid i Fernandez; Eva Miguel Gascón; Michael Remmy; Julian Richards; Roberto Scopigno; Llorenç Vila; Lior Wolf; Holly Wright; Massimo Zallocco,52,2019,https://intarch.ac.uk/journal/issue52/7/index.html,Mentioned,IA-run2-success,In metadata - mobile app for tablets/smartphones for pottery ID in fieldwork,CONFIRMED,COMPLETE
ArchAIDE desktop application,ArchAIDE desktop application,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Developing the ArchAIDE Application: A digital workflow for identifying, organising and sharing archaeological pottery using automated image recognition",Francesca Anichini; Francesco Banterle; Jaume Buxeda i Garrigós; Marco Callieri; Nachum Dershowitz; Nevio Dubbini; Diego Lucendo Diaz; Tim Evans; Gabriele Gattiglia; Katie Green; Maria Letizia Gualandi; Miguel Angel Hervás; Barak Itkin; Marisol Madrid i Fernandez; Eva Miguel Gascón; Michael Remmy; Julian Richards; Roberto Scopigno; Llorenç Vila; Lior Wolf; Holly Wright; Massimo Zallocco,52,2019,https://intarch.ac.uk/journal/issue52/7/index.html,Mentioned,IA-run2-success,Desktop Comparative Database User Interface - documented in §4,CONFIRMED,COMPLETE
WaveSurfer 1.8.8 (audio analysis software),WaveSurfer 1.8.8,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The song of air and water: Acoustic experiments with an Ecuadorian Whistle Bottle (c.900 BC–100 BC),Mónica Amparo Ayala Esparza; Galo Fernando Gallardo Carrillo; Miguel Molina-Alarcón,52,2019,https://intarch.ac.uk/journal/issue52/2/index.html,Primary,IA-run2-success,In metadata - Acoustic Analysis §6: specialised software wavesurfer-1.8.8p4 - generic audio tool; Corrected from MISATTRIBUTED: successful metadata evaluation as 'WaveSurfer' confirms research tool status,CONFIRMED,COMPLETE
TensorFlow,TensorFlow,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,What the Machine Saw: some questions on the ethics of computer vision and machine learning to investigate human remains trafficking,Damien Huffer; Cristina Wood; Shawn Graham,52,2019,https://intarch.ac.uk/journal/issue52/5/index.html,Mentioned,IA-run2-success,Generic ML framework - §4 mentions Tensorflow for Poets tutorial; Corrected from MISATTRIBUTED: successful metadata evaluation confirms research tool status (TensorFlow),CONFIRMED,COMPLETE
Jupyter Notebook,Jupyter Notebook,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,What the Machine Saw: some questions on the ethics of computer vision and machine learning to investigate human remains trafficking,Damien Huffer; Cristina Wood; Shawn Graham,52,2019,https://intarch.ac.uk/journal/issue52/5/index.html,Mentioned,IA-run2-success,Generic dev environment - §4: tensorflow.ipynb Jupyter notebook,MISATTRIBUTED,COMPLETE
ArchAIDE,ArchAIDE,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,"Developing the ArchAIDE Application: A digital workflow for identifying, organising and sharing archaeological pottery using automated image recognition",Francesca Anichini; Francesco Banterle; Jaume Buxeda i Garrigós; Marco Callieri; Nachum Dershowitz; Nevio Dubbini; Diego Lucendo Diaz; Tim Evans; Gabriele Gattiglia; Maria Letizia Gualandi; Miguel Angel Hervás; Barak Itkin; Marisol Madrid i Fernandez; Eva Miguel Gascón; Michael Remmy; Julian Richards; Roberto Scopigno; Llorenç Vila; Lior Wolf; Holly Wright; Massimo Zallocco,52,2020,https://intarch.ac.uk/journal/issue52/anichini_toc.html,Primary,IA-run2-success,In metadata - archaeological pottery identification system using image recognition,CONFIRMED,COMPLETE
VirtualArch project platform,VirtualArch project platform,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,VirtualArch: Making Archaeological Heritage Visible,Jiří Unger; Christiane Hemker; Christoph Lobinger; Jan Mařík,54,2020,https://intarch.ac.uk/journal/issue54/2/index.html,Primary,IA-run2-success,In metadata - EU Interreg project 2017-2020 for VR/AR access to archaeological sites,CONFIRMED,COMPLETE
Burial Space Research Database,Burial Space Research Database,ChatGPT Deep Research,Unknown (Deep Research),Deep Research (web),success,Internet Archaeology,The Burial Space Research Database (Data Paper),Toby Pillatt; Gareth Beale; Katie Green; Debbie Maxwell; Harold Mytum; Kieron Niven; Julian Richards; Nicole Smith,55,2020,https://intarch.ac.uk/journal/issue55/3/index.html,Primary,IA-run2-success,Repository for systematic archaeological surveys of burial spaces on per-memorial basis,CONFIRMED,COMPLETE
